20200518  12:28:00,1.3099,1.3099,1.3,1.305,251
20200518  12:29:00,1.305,1.31,1.3,1.305,137
20200518  12:30:00,1.3,1.31,1.3,1.3099,59
20200518  12:31:00,1.305,1.31,1.3,1.305,711
20200518  12:32:00,1.305,1.31,1.3002,1.305,166
20200518  12:33:00,1.305,1.31,1.3,1.3058,181
20200518  12:34:00,1.305,1.31,1.3,1.3,41
20200518  12:35:00,1.305,1.31,1.3,1.3099,82
20200518  12:36:00,1.3,1.31,1.3,1.31,166
20200518  12:37:00,1.31,1.31,1.3,1.3099,59
20200518  12:38:00,1.3097,1.31,1.3,1.31,207
20200518  12:39:00,1.3002,1.31,1.3,1.3,168
20200518  12:40:00,1.305,1.31,1.3,1.305,31
20200518  12:41:00,1.3,1.31,1.3,1.305,179
20200518  12:42:00,1.3,1.31,1.3,1.3099,53
20200518  12:43:00,1.3,1.31,1.3,1.3,374
20200518  12:44:00,1.3,1.3099,1.29,1.295,1403
20200518  12:45:00,1.3,1.3,1.29,1.29,466
20200518  12:46:00,1.295,1.3,1.29,1.2999,66
20200518  12:47:00,1.295,1.3,1.29,1.29,162
20200518  12:48:00,1.295,1.3,1.29,1.29,53
20200518  12:49:00,1.2999,1.3,1.29,1.29,311
20200518  12:50:00,1.295,1.3,1.29,1.2901,65
20200518  12:51:00,1.2959,1.3,1.29,1.29,138
20200518  12:52:00,1.2999,1.3,1.29,1.29,163
20200518  12:53:00,1.295,1.2999,1.29,1.295,130
20200518  12:54:00,1.3,1.3,1.29,1.2901,398
20200518  12:55:00,1.29,1.3,1.29,1.3,126
20200518  12:56:00,1.29,1.3,1.29,1.29,136
20200518  12:57:00,1.3,1.3,1.29,1.29,51
20200518  12:58:00,1.2999,1.3,1.29,1.29,105
20200518  12:59:00,1.29,1.3,1.29,1.3,248
20200518  13:00:00,1.29,1.3,1.29,1.29,253
20200518  13:01:00,1.29,1.295,1.28,1.285,1052
20200518  13:02:00,1.285,1.29,1.28,1.28,842
20200518  13:03:00,1.2801,1.29,1.28,1.2871,648
20200518  13:04:00,1.28,1.29,1.28,1.2801,1117
20200518  13:05:00,1.285,1.29,1.28,1.28,664
20200518  13:06:00,1.2861,1.29,1.27,1.2701,957
20200518  13:07:00,1.27,1.28,1.27,1.275,550
20200518  13:08:00,1.275,1.28,1.27,1.275,265
20200518  13:09:00,1.28,1.3,1.27,1.2874,1361
20200518  13:10:00,1.286,1.29,1.28,1.285,241
20200518  13:11:00,1.285,1.29,1.28,1.285,226
20200518  13:12:00,1.285,1.29,1.28,1.29,229
20200518  13:13:00,1.285,1.29,1.28,1.285,206
20200518  13:14:00,1.28,1.29,1.28,1.285,148
20200518  13:15:00,1.28,1.29,1.28,1.28,192
20200518  13:16:00,1.28,1.29,1.28,1.28,263
20200518  13:17:00,1.28,1.29,1.28,1.28,262
20200518  13:18:00,1.2801,1.29,1.28,1.2899,180
20200518  13:19:00,1.28,1.29,1.28,1.285,161
20200518  13:20:00,1.2806,1.29,1.28,1.2899,299
20200518  13:21:00,1.29,1.29,1.28,1.2801,213
20200518  13:22:00,1.28,1.29,1.27,1.2701,671
20200518  13:23:00,1.2752,1.28,1.27,1.27,240
20200518  13:24:00,1.27,1.28,1.27,1.28,171
20200518  13:25:00,1.275,1.28,1.27,1.275,439
20200518  13:26:00,1.27,1.28,1.27,1.275,173
20200518  13:27:00,1.275,1.29,1.275,1.2899,889
20200518  13:28:00,1.285,1.295,1.28,1.2901,462
20200518  13:29:00,1.29,1.3,1.29,1.2901,480
20200518  13:30:00,1.29,1.3,1.29,1.3,222
20200518  13:31:00,1.295,1.3,1.28,1.28,916
20200518  13:32:00,1.2864,1.29,1.28,1.285,228
20200518  13:33:00,1.28,1.29,1.28,1.2801,372
20200518  13:34:00,1.28,1.29,1.28,1.28,90
20200518  13:35:00,1.289,1.29,1.28,1.28,369
20200518  13:36:00,1.2802,1.29,1.28,1.2801,54
20200518  13:37:00,1.29,1.29,1.28,1.2899,180
20200518  13:38:00,1.285,1.29,1.28,1.285,121
20200518  13:39:00,1.285,1.29,1.28,1.2899,153
20200518  13:40:00,1.29,1.3,1.28,1.295,430
20200518  13:41:00,1.3,1.31,1.2901,1.305,137
20200518  13:42:00,1.3002,1.31,1.3,1.305,346
20200518  13:43:00,1.31,1.31,1.3,1.305,126
20200518  13:44:00,1.305,1.31,1.305,1.305,385
20200518  13:45:00,1.305,1.31,1.3001,1.305,115
20200518  13:46:00,1.309,1.32,1.305,1.32,464
20200518  13:47:00,1.32,1.32,1.31,1.31,499
20200518  13:48:00,1.315,1.32,1.31,1.32,150
20200518  13:49:00,1.315,1.32,1.31,1.315,108
20200518  13:50:00,1.315,1.32,1.3101,1.32,168
20200518  13:51:00,1.315,1.32,1.315,1.315,118
20200518  13:52:00,1.315,1.32,1.31,1.31,509
20200518  13:53:00,1.31,1.32,1.31,1.315,257
20200518  13:54:00,1.315,1.32,1.31,1.31,200
20200518  13:55:00,1.315,1.315,1.3,1.305,402
20200518  13:56:00,1.305,1.31,1.3,1.305,186
20200518  13:57:00,1.3099,1.3099,1.3,1.3,5
